                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.66291,                0.65856,                 1.1002,                0.90327,                 0.8197,                0.88312,                0.74226,                0.73594,                0.74766,                 1.1518,              0.0090694,              0.0090694,              0.0090694
                     49,                0.66174,                0.63229,                 1.0989,                0.90384,                0.80981,                0.87879,                0.74729,                0.69928,                 0.7391,                 1.1232,              0.0090496,              0.0090496,              0.0090496
                     50,                0.67433,                 0.6373,                 1.1029,                0.92188,                0.81421,                 0.8904,                0.75891,                0.69797,                0.69692,                 1.1191,              0.0090298,              0.0090298,              0.0090298
                     51,                0.64969,                0.61231,                 1.0875,                0.87927,                0.82696,                0.87384,                0.73554,                 0.7422,                0.75874,                 1.1545,                0.00901,                0.00901,                0.00901
                     52,                0.64854,                0.61493,                 1.0923,                0.87868,                0.84607,                0.88882,                0.76513,                0.67168,                0.72608,                 1.0906,              0.0089902,              0.0089902,              0.0089902
                     53,                0.64814,                0.60767,                 1.0931,                0.85748,                0.83308,                0.88419,                0.74901,                0.70275,                0.77693,                  1.104,              0.0089704,              0.0089704,              0.0089704
                     54,                0.63588,                0.61363,                  1.088,                 0.8737,                 0.8366,                0.89303,                 0.7569,                0.70118,                0.68459,                 1.1354,              0.0089506,              0.0089506,              0.0089506
                     55,                 0.6402,                0.59749,                 1.0869,                0.89314,                0.82854,                0.87314,                0.75818,                0.67411,                 0.6709,                 1.0875,              0.0089308,              0.0089308,              0.0089308
                     56,                 0.6571,                0.60723,                 1.0925,                0.90829,                 0.8374,                0.89126,                0.76497,                0.69076,                0.71993,                 1.1118,               0.008911,               0.008911,               0.008911
                     57,                0.64408,                0.59493,                 1.0899,                0.89021,                0.83307,                0.87951,                0.75674,                0.67643,                0.74296,                 1.0969,              0.0088912,              0.0088912,              0.0088912
                     58,                0.63124,                0.59987,                 1.0868,                0.88852,                 0.7983,                0.86297,                0.72812,                0.75255,                0.83377,                  1.189,              0.0088714,              0.0088714,              0.0088714
                     59,                0.61323,                0.58425,                 1.0688,                0.92541,                0.81459,                0.88817,                 0.7472,                 0.7067,                0.70574,                 1.1216,              0.0088516,              0.0088516,              0.0088516
                     60,                0.63716,                0.59693,                 1.0828,                0.85664,                0.84131,                0.88331,                0.76604,                0.67172,                0.66237,                 1.0832,              0.0088318,              0.0088318,              0.0088318
                     61,                0.62068,                0.56563,                 1.0817,                0.90454,                0.86304,                0.90091,                0.77797,                0.66674,                0.68543,                 1.0984,               0.008812,               0.008812,               0.008812
                     62,                0.63535,                0.59829,                 1.0826,                0.88727,                0.84005,                 0.8809,                0.76819,                0.66327,                0.68507,                  1.078,              0.0087922,              0.0087922,              0.0087922
                     63,                0.61489,                0.58126,                 1.0702,                0.88432,                0.83266,                0.87972,                0.75459,                 0.6848,                0.68994,                 1.0984,              0.0087724,              0.0087724,              0.0087724
                     64,                0.61432,                0.56948,                 1.0714,                0.88895,                0.85225,                0.89498,                0.77757,                0.68319,                0.67361,                    1.1,              0.0087526,              0.0087526,              0.0087526
                     65,                0.62285,                0.57971,                 1.0767,                0.89009,                0.86304,                0.89877,                0.77939,                0.64803,                0.63374,                 1.0832,              0.0087328,              0.0087328,              0.0087328
                     66,                0.61541,                0.57383,                 1.0749,                0.89477,                0.84144,                0.88818,                0.75983,                0.70273,                0.67815,                 1.1199,               0.008713,               0.008713,               0.008713
                     67,                0.61373,                0.57815,                 1.0723,                0.87958,                0.83996,                0.88515,                0.75883,                0.68336,                0.68895,                 1.1285,              0.0086932,              0.0086932,              0.0086932
                     68,                0.60353,                 0.5588,                 1.0696,                0.87586,                0.83544,                0.89542,                0.78887,                0.63908,                0.66961,                 1.0799,              0.0086734,              0.0086734,              0.0086734
                     69,                0.59391,                0.54782,                 1.0584,                0.87264,                0.84561,                 0.8968,                0.76288,                 0.6825,                0.68822,                 1.1091,              0.0086536,              0.0086536,              0.0086536
                     70,                0.60263,                0.56214,                 1.0658,                0.90781,                0.83694,                0.89195,                0.77058,                0.65968,                0.65979,                 1.1036,              0.0086338,              0.0086338,              0.0086338
                     71,                0.58833,                 0.5479,                 1.0608,                0.91276,                0.82061,                0.89721,                0.77083,                0.66289,                0.66632,                 1.0955,               0.008614,               0.008614,               0.008614
                     72,                0.60058,                0.54585,                 1.0634,                  0.883,                0.86844,                0.89405,                0.76594,                0.67668,                0.66841,                 1.1027,              0.0085942,              0.0085942,              0.0085942
                     73,                0.60526,                0.55749,                 1.0591,                0.90417,                0.84112,                0.89635,                0.77448,                0.64648,                0.67732,                 1.0912,              0.0085744,              0.0085744,              0.0085744
                     74,                0.59973,                0.55222,                 1.0657,                0.91085,                 0.8413,                0.89406,                0.77186,                0.64741,                0.67126,                 1.0896,              0.0085546,              0.0085546,              0.0085546
                     75,                0.58646,                0.53884,                 1.0513,                0.87029,                 0.8484,                0.87694,                0.75438,                0.70908,                0.72153,                 1.1547,              0.0085348,              0.0085348,              0.0085348
                     76,                0.59589,                 0.5439,                  1.066,                0.88452,                0.83745,                0.88179,                0.76185,                0.67658,                0.75235,                 1.1057,               0.008515,               0.008515,               0.008515
                     77,                0.57415,                0.53227,                 1.0483,                0.89291,                0.85499,                0.88893,                0.76856,                0.66948,                0.70344,                 1.1143,              0.0084952,              0.0084952,              0.0084952
                     78,                0.58434,                0.53994,                 1.0477,                0.88147,                0.87141,                0.89861,                0.77065,                0.65464,                0.68228,                 1.1053,              0.0084754,              0.0084754,              0.0084754
                     79,                0.58302,                0.52886,                 1.0488,                0.88252,                0.85052,                0.88949,                0.77018,                0.65994,                 0.7047,                 1.1131,              0.0084556,              0.0084556,              0.0084556
                     80,                0.58355,                0.53079,                 1.0551,                0.89276,                0.85137,                0.89897,                0.77528,                0.66441,                0.65983,                 1.0834,              0.0084358,              0.0084358,              0.0084358
                     81,                0.57412,                0.52839,                 1.0462,                0.86415,                0.83324,                0.88412,                0.77328,                0.64401,                0.68613,                 1.0783,               0.008416,               0.008416,               0.008416
                     82,                0.58498,                0.53138,                 1.0569,                0.88154,                0.83091,                0.87902,                0.76723,                0.67582,                0.71382,                 1.1099,              0.0083962,              0.0083962,              0.0083962
                     83,                0.58534,                0.53893,                 1.0572,                 0.8718,                0.84103,                0.89157,                0.76706,                0.66918,                0.70957,                 1.1246,              0.0083764,              0.0083764,              0.0083764
                     84,                0.58548,                0.53094,                  1.053,                0.90678,                0.84651,                0.88606,                0.77696,                0.66307,                0.65694,                 1.1137,              0.0083566,              0.0083566,              0.0083566
